date,name,lat,lon,wind_speed,category
2002-09-12 09:00:00,GUSTAV,47.6,-58.6,65.0,Category 1
2002-09-14 08:00:00,HANNA,29.1,-89.1,50.0,Tropical Storm
2002-09-14 15:00:00,HANNA,30.4,-88.4,50.0,Tropical Storm
2002-09-20 21:00:00,ISIDORE,22.0,-84.1,75.0,Category 1
2002-09-22 21:00:00,ISIDORE,21.3,-89.3,110.0,Category 3
2002-09-26 06:00:00,ISIDORE,29.1,-90.3,55.0,Tropical Storm
2002-09-30 14:00:00,LILI,19.7,-79.8,65.0,Category 1
2002-10-01 11:00:00,LILI,21.3,-83.0,90.0,Category 2
2002-10-01 14:00:00,LILI,22.1,-84.0,90.0,Category 2
2002-10-03 13:00:00,LILI,29.5,-92.2,80.0,Category 1
2002-10-11 17:00:00,KYLE,33.0,-79.5,35.0,Tropical Storm
2002-10-11 22:00:00,KYLE,33.9,-78.4,35.0,Tropical Storm
2002-10-16 16:00:00,UNNAMED,22.0,-80.7,25.0,Tropical Depression
2003-06-30 19:00:00,BILL,29.3,-91.0,50.0,Tropical Storm
2003-07-11 10:00:00,CLAUDETTE,20.8,-86.9,50.0,Tropical Storm
2003-07-15 15:30:00,CLAUDETTE,28.3,-96.2,80.0,Category 1
2003-07-26 06:00:00,UNNAMED,31.5,-81.3,25.0,Tropical Depression
2003-08-16 10:30:00,ERIKA,25.3,-97.4,65.0,Category 1
2003-08-31 11:00:00,GRACE,29.0,-95.1,35.0,Tropical Storm
2003-09-06 09:00:00,HENRI,27.9,-82.8,30.0,Tropical Depression
2003-09-18 17:00:00,ISABEL,34.9,-76.2,90.0,Category 2
2003-09-29 03:00:00,JUAN,44.4,-63.8,85.0,Category 2
2003-10-05 10:00:00,LARRY,18.4,-93.5,50.0,Tropical Storm
2003-12-06 23:00:00,ODETTE,17.8,-71.5,50.0,Tropical Storm
2004-08-12 14:00:00,BONNIE,29.6,-85.1,40.0,Tropical Storm
2004-08-13 04:30:00,CHARLEY,22.7,-82.6,105.0,Category 3
2004-08-13 19:45:00,CHARLEY,26.6,-82.2,130.0,Category 4
2004-08-13 20:45:00,CHARLEY,26.9,-82.1,125.0,Category 4
2004-08-14 14:00:00,CHARLEY,33.0,-79.4,70.0,Category 1
2004-08-14 16:00:00,CHARLEY,33.8,-78.7,65.0,Category 1
2004-08-29 14:00:00,GASTON,33.0,-79.6,65.0,Category 1
2004-08-31 06:00:00,HERMINE,41.5,-70.9,35.0,Tropical Storm
2004-09-02 19:30:00,FRANCES,24.0,-74.5,110.0,Category 3
2004-09-03 05:30:00,FRANCES,24.6,-75.6,100.0,Category 3
2004-09-03 10:00:00,FRANCES,25.1,-76.1,95.0,Category 2
2004-09-04 10:00:00,FRANCES,26.6,-78.2,90.0,Category 2
2004-09-05 04:30:00,FRANCES,27.2,-80.2,90.0,Category 2
2004-09-06 18:00:00,FRANCES,30.1,-84.0,50.0,Tropical Storm
2004-09-14 04:00:00,JEANNE,16.2,-61.3,30.0,Tropical Depression
2004-09-15 16:00:00,JEANNE,18.0,-66.0,60.0,Tropical Storm
2004-09-16 06:50:00,IVAN,30.2,-87.9,105.0,Category 3
2004-09-16 11:00:00,JEANNE,18.6,-68.3,70.0,Category 1
2004-09-24 02:00:00,IVAN,29.8,-93.6,30.0,Tropical Depression
2004-09-25 14:00:00,JEANNE,26.7,-77.3,100.0,Category 3
2004-09-26 04:00:00,JEANNE,27.2,-80.2,105.0,Category 3
2004-10-10 11:00:00,MATTHEW,29.2,-91.0,35.0,Tropical Storm
2005-06-10 08:00:00,ARLENE,21.8,-84.5,45.0,Tropical Storm
2005-06-11 19:00:00,ARLENE,30.3,-87.5,50.0,Tropical Storm
2005-06-29 12:00:00,BRET,20.8,-97.3,35.0,Tropical Storm
2005-07-04 03:30:00,CINDY,19.0,-87.6,30.0,Tropical Depression
2005-07-04 21:00:00,DENNIS,12.1,-61.6,30.0,Tropical Depression
2005-07-06 03:00:00,CINDY,29.2,-90.1,65.0,Category 1
2005-07-06 09:00:00,CINDY,30.2,-89.5,45.0,Tropical Storm
2005-07-08 02:45:00,DENNIS,19.9,-77.6,120.0,Category 4
2005-07-08 18:45:00,DENNIS,22.1,-80.7,120.0,Category 4
2005-07-10 19:30:00,DENNIS,30.4,-87.1,105.0,Category 3
2005-07-14 07:00:00,EMILY,12.0,-61.8,75.0,Category 1
